ID	cosineSimilarity	zscore	accession	comparison	comparisonsText	Description	PMID	Species	Tissue	ExpType	Perturbation	Effect	Type	foldChangeOnly	platform
E-GEOD-51812_2	0.218639509423501	3.2314264276133	E-GEOD-51812	2	Remaining limb cells_6wks_LCMvsArticular_chondrocytes_17wks	Chondrocyte subsets during development	24371811	Human	Cartilage	Development	Chondrocyte development		Microarray	FALSE	Affy
E-GEOD-51812_1	0.210677634534677	3.12054892463904	E-GEOD-51812	1	Chondrocyte_condensation_6wks_LCMvsArticular_chondrocytes_17wks	Chondrocyte subsets during development	24371811	Human	Cartilage	Development	Chondrocyte development		Microarray	FALSE	Affy
GSE29745_1	0.194934370893994	2.90130737845567	GSE29745	1	Gene expression of human amnion infected 5 genesvsGene expression of human fetal re-differentiation chondrocytes	Human amnion and chondrosarcoma	22833560	Human	Cartilage	Tissue	Amnion	chondrosarcoma	Microarray	TRUE	1C-Agilent
GSE10575_2	0.191772417603447	2.85727384486306	GSE10575	2	Osteocytes/-blasts in P2 from human bone chips of patients with OAvshealthy chondrocytes	Osteoarthritis chondroprogenitor cells	19341622	Human	Cartilage	Disease	Osteoarthritis		Microarray	FALSE	Affy
GSE10575_1	0.187470994813359	2.79737199701174	GSE10575	1	migratory cells only found in diseased OA tissue with stem cell characteristicsvshealthy chondrocytes	Osteoarthritis chondroprogenitor cells	19341622	Human	Cartilage	Disease	Osteoarthritis		Microarray	FALSE	Affy
E-GEOD-19664_5	0.155094604043096	2.34649661727366	E-GEOD-19664	5	Pooled_7_MSCs_d7vsPooled_6_MSCs_d3	Osteoarthritic chondrocytes and MSCs during chondrogenic differentiation	20883804	Human	Cartilage	Development	Timecourse		Microarray	TRUE	Affy
GSE10575_3	0.148969811480861	2.26120242275057	GSE10575	3	T/C-28 cells (fetal human sternal chondrocytes, immortalized, M.Goldring)vshealthy chondrocytes	Osteoarthritis chondroprogenitor cells	19341622	Human	Cartilage	Disease	Osteoarthritis		Microarray	FALSE	Affy
GSE103416_1	0.14731123315589	2.23810497073984	GSE103416	1	monosodium iodoacetate (MIA).2vsnaive.0	knee cartilage in MIA model of osteoarthritis	29134405	Rat	Cartilage	Disease Exogenous	MIA		Microarray	FALSE	Affy-ST
E-GEOD-12860_6	0.145047405129609	2.20657877845195	E-GEOD-12860	6	Chondrocytes stimulated with methylprednisolone (urbason) treated RASFvsNDSF stimulated chondrocytes	Human chondrocytes antirheumatic drug response	19192274	Human	Cartilage	Exogenous	Antirheumatic drugs		Microarray	TRUE	Affy
E-GEOD-12860_3	0.137570778469187	2.10245886871286	E-GEOD-12860	3	Chondrocytes stimulated with prioxicam treated RASFvsNDSF stimulated chondrocytes	Human chondrocytes antirheumatic drug response	19192274	Human	Cartilage	Exogenous	Antirheumatic drugs		Microarray	TRUE	Affy
E-GEOD-19664_8	0.134871204196131	2.06486445047977	E-GEOD-19664	8	Pooled_11_Chondros_d7vsPooled_10_Chondros_d3	Osteoarthritic chondrocytes and MSCs during chondrogenic differentiation	20883804	Human	Cartilage	Development	Timecourse		Microarray	TRUE	Affy
E-MTAB-2923_2	0.134533407500085	2.06016027530828	E-MTAB-2923	2	immature_osteoblastvsosteoprogenitor	Comprehensive Analysis of Hematopoietic Stem Cell Niche	26627594	Mouse	Bone	Tissue	Bone marrow cell types		RNASeq	TRUE	RNASeq
GSE110051_2	0.131812232655802	2.0222650463448	GSE110051	2	BonevsMature_cartilage	Embryo bone immature cartilage and mature cartilage	NA	Mouse	Embryo	Development	bone immature cartilage and mature cartilage		RNASeq	FALSE	RNASeq
E-GEOD-12860_2	0.129857879021787	1.99504861128471	E-GEOD-12860	2	Chondrocytes stimulated with prednisolone (solu-decortin) treated RASFvsNDSF stimulated chondrocytes	Human chondrocytes antirheumatic drug response	19192274	Human	Cartilage	Exogenous	Antirheumatic drugs		Microarray	TRUE	Affy
E-GEOD-9451_4	0.128113774908975	1.97076012249833	E-GEOD-9451	4	adipocytevsiliac	Mesenchymal stem cell differentiation	19228201	Human	Bone	Tissue	Differentiation		Microarray	FALSE	Affy
GSE87608_3	0.126441170094527	1.94746733683185	GSE87608	3	Runx2HET_MS275vsRunx2HET_vehicle	HDAC inhibition in Heterozygous Runx2 Null Mice	28052439	Mouse	Bone	Gene perturbation Exogenous	Runx2 MS-275	Knockout	RNASeq	FALSE	RNASeq
E-MEXP-3474_1	0.122863567289656	1.8976454454838	E-MEXP-3474	1	Kashin-beck diseasevsprimary osteoarthritis	Human Kashin-beck disease and osteoarthritis cartilage	27053287	Human	Cartilage	Disease	Kashin-beck disease and osteoarthritis		Microarray	FALSE	2C-Agilent
GSE114079_4	0.122787097738881	1.89658052635836	GSE114079	4	SMAD3KO_E14.5vsWT_E14.5	Smad4-/- forelimbs at E11.5-E14.5	29735531	Mouse	Embryo	Gene perturbation	Smad4	Knockout	RNASeq	TRUE	RNASeq
E-GEOD-16007_1	0.119866912780068	1.85591387171013	E-GEOD-16007	1	microRNA-140 depletionvscontrol	MiR-140 knockout chondrocytes	20466812	Mouse	Cartilage	Gene perturbation	miR-140	Knockout	Microarray	TRUE	Affy
