ID	cosineSimilarity	zscore	accession	comparison	comparisonsText	Description	PMID	Species	Tissue	ExpType	Perturbation	Effect	Type	foldChangeOnly	platform
GSE10575_1	0.236586887670797	3.18948239678031	GSE10575	1	migratory cells only found in diseased OA tissue with stem cell characteristicsvshealthy chondrocytes	Osteoarthritis chondroprogenitor cells	19341622	Human	Cartilage	Disease	Osteoarthritis		Microarray	FALSE	Affy
GSE17570_1	0.210965297141208	2.85353324987946	GSE17570	1	PDGFRa(+) Sca-1(+)vsPDGFRa(-) Sca-1(-)	Endosteal cell populations	20472830	Mouse	Bone	Tissue	Endosteal cell populations		Microarray	TRUE	Affy
E-GEOD-16007_1	0.209569797312601	2.83523551866019	E-GEOD-16007	1	microRNA-140 depletionvscontrol	MiR-140 knockout chondrocytes	20466812	Mouse	Cartilage	Gene perturbation	miR-140	Knockout	Microarray	TRUE	Affy
GSE110051_2	0.200300572353345	2.71369785635551	GSE110051	2	BonevsMature_cartilage	Embryo bone immature cartilage and mature cartilage	NA	Mouse	Embryo	Development	bone immature cartilage and mature cartilage		RNASeq	FALSE	RNASeq
GSE10575_2	0.189394303027398	2.57069534167198	GSE10575	2	Osteocytes/-blasts in P2 from human bone chips of patients with OAvshealthy chondrocytes	Osteoarthritis chondroprogenitor cells	19341622	Human	Cartilage	Disease	Osteoarthritis		Microarray	FALSE	Affy
E-GEOD-9451_4	0.188510653477036	2.55910896836465	E-GEOD-9451	4	adipocytevsiliac	Mesenchymal stem cell differentiation	19228201	Human	Bone	Tissue	Differentiation		Microarray	FALSE	Affy
GSE104473_4	0.181282905966499	2.4643390668874	GSE104473	4	Mandibular Distraction_15_BCSPvsMandibular Fracture_15_BCSP	Mouse mandible during distraction osteogenesis	30356216	Mouse	Bone	Development			RNASeq	FALSE	RNASeq
GSE17569_2	0.180264732923798	2.45098882757662	GSE17569	2	ALCAM(-) Sca-1(+)vsALCAM(-) Sca-1(-)	Endosteal cell populations	20472830	Mouse	Bone	Tissue	Endosteal cell populations		Microarray	TRUE	Affy
GSE99306_10	0.17794455428859	2.42056674928076	GSE99306	10	X13del_PZvsWT_PZ	Chondrocytes subpopulations of 13del Chop-/- mouse model of MCDS	NA	Mouse	Cartilage	Gene perturbation	Col10a1 Chop	Knockin Knockout	Microarray	FALSE	Affy
E-MTAB-3428_4	0.174360312940774	2.3735703373408	E-MTAB-3428	4	KO-9PMvsWT-9PM	Bma1 knock out mouse cartilage	26657859	Mouse	Cartilage	Gene perturbation	Bmal1	Knockout	RNASeq	TRUE	RNASeq
GSE42235_4	0.173535531477351	2.36275583975149	GSE42235	4	passage: 8vspassage: 0	Dedifferentiating chondrocytes	23376013	Human	Cartilage	Culture	chondrocyte dedifferentiation		Microarray	FALSE	Illumina
E-MTAB-2923_4	0.164703746803661	2.24695387486911	E-MTAB-2923	4	osteoblastvsmesenchymal_stem_cell	Comprehensive Analysis of Hematopoietic Stem Cell Niche	26627594	Mouse	Bone	Tissue	Bone marrow cell types		RNASeq	TRUE	RNASeq
E-GEOD-43923_1	0.163857042932802	2.23585193165587	E-GEOD-43923	1	osteophytic cartilagevsarticular cartilage	Osteophytic and articular osteoarthritic cartilage	26069671	Human	Cartilage	Disease	Osteoarthritis -  Osteophytic cartilage		Microarray	FALSE	Affy
GSE99306_9	0.163261836521065	2.22804761185682	GSE99306	9	X13delChopKO_PZvsX13del_PZ	Chondrocytes subpopulations of 13del Chop-/- mouse model of MCDS	NA	Mouse	Cartilage	Gene perturbation	Col10a1 Chop	Knockin Knockout	Microarray	FALSE	Affy
GSE42235_2	0.16130923276698	2.20244515893093	GSE42235	2	passage: 4vspassage: 0	Dedifferentiating chondrocytes	23376013	Human	Cartilage	Culture	chondrocyte dedifferentiation		Microarray	FALSE	Illumina
E-MTAB-3428_1	0.160799573951249	2.19576253537727	E-MTAB-3428	1	KO-5AMvsWT-5AM	Bma1 knock out mouse cartilage	26657859	Mouse	Cartilage	Gene perturbation	Bmal1	Knockout	RNASeq	TRUE	RNASeq
GSE42235_1	0.156523262005949	2.13969172477531	GSE42235	1	passage: 2vspassage: 0	Dedifferentiating chondrocytes	23376013	Human	Cartilage	Culture	chondrocyte dedifferentiation		Microarray	FALSE	Illumina
GSE42235_3	0.153965713327338	2.10615726110709	GSE42235	3	passage: 6vspassage: 0	Dedifferentiating chondrocytes	23376013	Human	Cartilage	Culture	chondrocyte dedifferentiation		Microarray	FALSE	Illumina
GSE104473_3	0.149266316109896	2.04453897537558	GSE104473	3	Mandibular Distraction_10_SSCvsMandibular Fracture_10_SSC	Mouse mandible during distraction osteogenesis	30356216	Mouse	Bone	Development			RNASeq	FALSE	RNASeq
GSE29745_1	0.148675268940045	2.03678919136977	GSE29745	1	Gene expression of human amnion infected 5 genesvsGene expression of human fetal re-differentiation chondrocytes	Human amnion and chondrosarcoma	22833560	Human	Cartilage	Tissue	Amnion	chondrosarcoma	Microarray	TRUE	1C-Agilent
GSE99306_13	0.148075113756668	2.02891998349875	GSE99306	13	X13del_UHZvsWT_UHZ	Chondrocytes subpopulations of 13del Chop-/- mouse model of MCDS	NA	Mouse	Cartilage	Gene perturbation	Col10a1 Chop	Knockin Knockout	Microarray	FALSE	Affy
GSE47799_1	0.147395680937108	2.02001129081458	GSE47799	1	meniscusvsarticular cartilage	Mouse embryonic meniscus articular cartilage and cruciate ligaments	24108661	Mouse	Cartilage Ligament Meniscus	Tissue	Cartilage Ligament Meniscus		Microarray	FALSE	Illumina
E-GEOD-51812_2	0.144514994398494	1.98223985800605	E-GEOD-51812	2	Remaining limb cells_6wks_LCMvsArticular_chondrocytes_17wks	Chondrocyte subsets during development	24371811	Human	Cartilage	Development	Chondrocyte development		Microarray	FALSE	Affy
GSE99306_3	0.141853434531236	1.9473416042931	GSE99306	3	X13del_LHZvsWT_LHZ	Chondrocytes subpopulations of 13del Chop-/- mouse model of MCDS	NA	Mouse	Cartilage	Gene perturbation	Col10a1 Chop	Knockin Knockout	Microarray	FALSE	Affy
GSE110051_3	0.135788202860169	1.86781455840976	GSE110051	3	BonevsImmature_cartilage	Embryo bone immature cartilage and mature cartilage	NA	Mouse	Embryo	Development	bone immature cartilage and mature cartilage		RNASeq	FALSE	RNASeq
GSE102292_2	0.133115713105458	1.8327729925023	GSE102292	2	12 daysvs9 days	Mouse chondrocyte culture time course	NA	Mouse	Cartilage	Culture			Microarray	TRUE	Affy
GSE51098_1	0.129609196858101	1.78679570859665	GSE51098	1	Intermediate interzonevsouter interzone	Intermediate and outer interzone of murine embryos at 15.5 days of gestation	24738827	Mouse	Embryo	Tissue	intermediate and outer interzone		Microarray	FALSE	1C-Agilent
GSE114079_3	0.128967357286464	1.77837993689466	GSE114079	3	SMAD3KO_E13.5vsWT_E13.5	Smad4-/- forelimbs at E11.5-E14.5	29735531	Mouse	Embryo	Gene perturbation	Smad4	Knockout	RNASeq	TRUE	RNASeq
E-GEOD-51812_1	0.128181416814542	1.76807472064542	E-GEOD-51812	1	Chondrocyte_condensation_6wks_LCMvsArticular_chondrocytes_17wks	Chondrocyte subsets during development	24371811	Human	Cartilage	Development	Chondrocyte development		Microarray	FALSE	Affy
GSE99306_8	0.128136493784633	1.76748569189028	GSE99306	8	X13delChopKO_PZvsWT_PZ	Chondrocytes subpopulations of 13del Chop-/- mouse model of MCDS	NA	Mouse	Cartilage	Gene perturbation	Col10a1 Chop	Knockin Knockout	Microarray	FALSE	Affy
E-GEOD-8488_3	0.127510504509713	1.75927774856858	E-GEOD-8488	3	SB90vsDMSO	Mouse chondrocytes treated with MEK/ERK pathway inhibitors	20111593	Mouse	Cartilage				RNASeq	FALSE	Affy
GSE114079_4	0.127471828657469	1.75877063252706	GSE114079	4	SMAD3KO_E14.5vsWT_E14.5	Smad4-/- forelimbs at E11.5-E14.5	29735531	Mouse	Embryo	Gene perturbation	Smad4	Knockout	RNASeq	TRUE	RNASeq
GSE99306_6	0.123377209511578	1.70508216976917	GSE99306	6	X13delChopKO_pHZvsX13del_pHZ	Chondrocytes subpopulations of 13del Chop-/- mouse model of MCDS	NA	Mouse	Cartilage	Gene perturbation	Col10a1 Chop	Knockin Knockout	Microarray	FALSE	Affy
GSE99306_4	0.120607781398173	1.6687695524464	GSE99306	4	X13delChopKO_MHZvsX13del_MHZ	Chondrocytes subpopulations of 13del Chop-/- mouse model of MCDS	NA	Mouse	Cartilage	Gene perturbation	Col10a1 Chop	Knockin Knockout	Microarray	FALSE	Affy
E-GEOD-54216_2	0.119774874757798	1.65784851790099	E-GEOD-54216	2	superficial zonevsresting zone	Articular and growth plate cartilage zones in 10-day-old rat proximal tibial epiphysis	25068449	Rat	Cartilage	Tissue	Cartilage zones		Microarray	FALSE	Affy-ST
GSE102292_3	0.119341018604436	1.65215981545953	GSE102292	3	9 daysvs6 days	Mouse chondrocyte culture time course	NA	Mouse	Cartilage	Culture			Microarray	TRUE	Affy
GSE103416_1	0.11834977184836	1.63916263241239	GSE103416	1	monosodium iodoacetate (MIA).2vsnaive.0	knee cartilage in MIA model of osteoarthritis	29134405	Rat	Cartilage	Disease Exogenous	MIA		Microarray	FALSE	Affy-ST
E-GEOD-54216_1	0.113064896797382	1.56986758756327	E-GEOD-54216	1	superficial zonevsintermediate/deep zone	Articular and growth plate cartilage zones in 10-day-old rat proximal tibial epiphysis	25068449	Rat	Cartilage	Tissue	Cartilage zones		Microarray	FALSE	Affy-ST
GSE99306_12	0.111419738052964	1.54829633982729	GSE99306	12	X13delChopKO_UHZvsX13del_UHZ	Chondrocytes subpopulations of 13del Chop-/- mouse model of MCDS	NA	Mouse	Cartilage	Gene perturbation	Col10a1 Chop	Knockin Knockout	Microarray	FALSE	Affy
GSE45233_2	0.110984437332795	1.5425886962906	GSE45233	2	Knee meniscus, old, chondrosisvsKnee meniscus, old, no chondrosis	Human Injured Meniscus with age and chondrosis	24692131	Human	Meniscus	Disease	Human Injured Meniscus		Microarray	FALSE	Illumina
GSE47799_3	0.1068388368646	1.48823176871916	GSE47799	3	cruciate ligamentvsarticular cartilage	Mouse embryonic meniscus articular cartilage and cruciate ligaments	24108661	Mouse	Cartilage Ligament Meniscus	Tissue	Cartilage Ligament Meniscus		Microarray	FALSE	Illumina
E-GEOD-19664_5	0.104031378329827	1.45142049821558	E-GEOD-19664	5	Pooled_7_MSCs_d7vsPooled_6_MSCs_d3	Osteoarthritic chondrocytes and MSCs during chondrogenic differentiation	20883804	Human	Cartilage	Development	Timecourse		Microarray	TRUE	Affy
GSE105139_1	0.102667380739172	1.43353582292869	GSE105139	1	AhsgHETvsAhsgWT	Mouse model of slipped capital femoral epiphysis (SCFE)	29088242	Mouse	Cartilage	Gene perturbation	Ahsg	Knockout	Microarray	FALSE	Affy-ST
GSE114521_2	0.100446811540788	1.4044198191049	GSE114521	2	Sox9null_E12.5vsControl_E12.5	Sox9 knockout embryos	30021842	Mouse	Embryo	Gene perturbation	Sox9	Knockout	RNASeq	FALSE	RNASeq
E-GEOD-19664_8	0.098723136084135	1.38181906375648	E-GEOD-19664	8	Pooled_11_Chondros_d7vsPooled_10_Chondros_d3	Osteoarthritic chondrocytes and MSCs during chondrogenic differentiation	20883804	Human	Cartilage	Development	Timecourse		Microarray	TRUE	Affy
GSE13782_1	0.096759826983837	1.35607624281076	GSE13782	1	InflamedvsNormal	Proteoglycan-induced spondylitis mouse model of spondyloarthropathy	30157923	Mouse	Cartilage	Exogenous	Aggrecan		Microarray	FALSE	Affy
E-GEOD-2154_1	0.0957728179397445	1.34313462445325	E-GEOD-2154	1	X15vsX12	Chondrocyte differentiation	16135533	Mouse	Embryo	Development	Chondrocyte differentiation		Microarray	FALSE	Affy
GSE90890_1	0.0926965325970266	1.30279850889024	GSE90890	1	Cdc73fKOvsWT	Cdc73 knockout in osteoblasts	28384511	Mouse	Bone	Gene perturbation	Cdc73	Knockdown	RNASeq	FALSE	RNASeq
GSE45233_1	0.0916922652208971	1.28963060005642	GSE45233	1	Knee meniscus, old, chondrosisvsKnee meniscus, young, chondrosis	Human Injured Meniscus with age and chondrosis	24692131	Human	Meniscus	Disease	Human Injured Meniscus		Microarray	FALSE	Illumina
E-MTAB-3428_3	0.0910547762180472	1.28127187281742	E-MTAB-3428	3	KO-9AMvsWT-9AM	Bma1 knock out mouse cartilage	26657859	Mouse	Cartilage	Gene perturbation	Bmal1	Knockout	RNASeq	TRUE	RNASeq
E-GEOD-1919_3	0.0888687066203519	1.2526082262119	E-GEOD-1919	3	rheumatoid arthritis.steroids, disease modifying antirheumatic drugs and non-steroidal anti-inflammatory drugsvsrheumatoid arthritis.disease modifying antirheumatic drugs	Human osteoarthritis or rheumatoid arthritis synovium treated with drug regimes	20858714	Human	Synovium	Disease	RA and Osteoarthritis		Microarray	TRUE	Affy
E-MTAB-2923_2	0.08846931103957	1.24737136925391	E-MTAB-2923	2	immature_osteoblastvsosteoprogenitor	Comprehensive Analysis of Hematopoietic Stem Cell Niche	26627594	Mouse	Bone	Tissue	Bone marrow cell types		RNASeq	TRUE	RNASeq
GSE97118_3	0.0882847853477599	1.24495187665163	GSE97118	3	Ezh2_cKO_D7vsEzh2_cKO_D3	Differentiation of Ezh2 deficient immature mouse chondrocytes	29280310	Mouse	Cartilage	Gene perturbation	Ezh2	Knockout	RNASeq	TRUE	RNASeq
GSE85785_1	0.0879398434881636	1.24042901444571	GSE85785	1	leptin-inducedvshealthy control	Leptin treated cartilage	28690479	Rat	Cartilage	Exogenous	Leptin		Microarray	FALSE	1C-Agilent
GSE60162_1	0.0872960090409369	1.23198708602439	GSE60162	1	TBX5 overexpressionvsvector control	Osteoarthritis synovial fibroblasts transfected with TBX5	25320281	Human	Synovium	Gene perturbation	TBX5	Overexpression	Microarray	TRUE	Affy-ST
GSE110281_3	0.0871363605131286	1.22989378168174	GSE110281	3	Lrg5PosvsLrg5Neg	e13.5 Sox-GFP forming digit e14.5 Lgr5-GFP interzone and e14.5 GFP- surrounding tissues in digit	NA	Mouse	Embryo	Tissue	E13.5 and E14.5		RNASeq	TRUE	RNASeq
GSE10575_3	0.0860456514801447	1.21559245371677	GSE10575	3	T/C-28 cells (fetal human sternal chondrocytes, immortalized, M.Goldring)vshealthy chondrocytes	Osteoarthritis chondroprogenitor cells	19341622	Human	Cartilage	Disease	Osteoarthritis		Microarray	FALSE	Affy
E-MTAB-1123_1	0.0860073030602079	1.21508963095298	E-MTAB-1123	1	wild type.12vswild type.6	Mineralizing-osteoblast specific androgen receptor knockout	22525354	Mouse	Bone	Gene perturbation	AR	Knockout	Microarray	FALSE	Affy
GSE110303_2	0.0843308149600171	1.19310759410799	GSE110303	2	KO_PlbvsWT_Plb	Estradiol Effects in Skeletally Mature (17-week old) Female WT and Estrogen Receptor Alpha Knockout Mice	28643917	Mouse	Cartilage	Gene perturbation	ESR1	Knockout	RNASeq	TRUE	RNASeq
GSE87608_3	0.0841504228241028	1.1907423005054	GSE87608	3	Runx2HET_MS275vsRunx2HET_vehicle	HDAC inhibition in Heterozygous Runx2 Null Mice	28052439	Mouse	Bone	Gene perturbation Exogenous	Runx2 MS-275	Knockout	RNASeq	FALSE	RNASeq
