ID	cosineSimilarity	zscore	accession	comparison	comparisonsText	Description	PMID	Species	Tissue	ExpType	Perturbation	Effect	Type	foldChangeOnly	platform
GSE125167_5	0.223167389187206	5.97006936918869	GSE125167	5	PLZF_10_days_diffvsControl_10_days_dif	PLZF knockdown during osteogenic differentiation	30672466	Human	Bone				RNASeq	FALSE	RNASeq
GSE59642_2	0.136420071414678	3.68157380585643	GSE59642	2	degenerated cartilagevsreference	Synovial fluid and bone marrow mesenchymal stem cells	NA	Human	Synovium	Tissue	Synovial fluid and bone marrow mesenchymal stem cells		Microarray	TRUE	1C-Agilent
GSE29745_1	0.132077813775978	3.56701997760934	GSE29745	1	Gene expression of human amnion infected 5 genesvsGene expression of human fetal re-differentiation chondrocytes	Human amnion and chondrosarcoma	22833560	Human	Cartilage	Tissue	Amnion	chondrosarcoma	Microarray	TRUE	1C-Agilent
GSE100268_1	0.125823589584735	3.40202623853747	GSE100268	1	HPIP_KOvsControl	HPIP KO Cartilage	30659184	Human	Cartilage	Gene perturbation	HPIP	Knockout	RNASeq	TRUE	RNASeq
GSE10575_3	0.121195848402062	3.27994102095681	GSE10575	3	T/C-28 cells (fetal human sternal chondrocytes, immortalized, M.Goldring)vshealthy chondrocytes	Osteoarthritis chondroprogenitor cells	19341622	Human	Cartilage	Disease	Osteoarthritis		Microarray	FALSE	Affy
GSE125167_7	0.121031980034223	3.27561798201568	GSE125167	7	NaivePLZFvsNaiveControl	PLZF knockdown during osteogenic differentiation	30672466	Human	Bone				RNASeq	FALSE	RNASeq
E-MTAB-4152_3	0.115186916362294	3.12141837534104	E-MTAB-4152	3	direct co-culture with human umbilical vein endothelial cellsvsmonoculture	Osteoblasts co-cultured with human umbilical vein endothelial cells	26754918	Human	Bone	Culture	co-culture with human umbilical vein endothelial cells		Microarray	FALSE	Affy-ST
GSE52992_1	0.108550512990882	2.94634230311269	GSE52992	1	human TNF transgenic and knockout in Rsk2 gene (Rsk2-/y FLS)vshuman TNF transgenic without knockout (Rsk2+/y FLS)	hTNFtg and hTNFtg;Rsk2-/y primary synovial fibroblasts.	25414238	Mouse	Synovium	Gene perturbation	Rsk2	Knockout	Microarray	FALSE	Affy
GSE104473_2	0.105825105827205	2.87444287887106	GSE104473	2	Mandibular Distraction_10_OPvsMandibular Fracture_10_OP	Mouse mandible during distraction osteogenesis	30356216	Mouse	Bone	Development			RNASeq	FALSE	RNASeq
GSE104113_2	0.0988692859794935	2.69094022692087	GSE104113	2	Stem cells.Adultvschondrocyte.Juvenile	Human Chondrocyte age	26955889	Human	Cartilage	Development	Age		Microarray	TRUE	Affy-ST
E-MTAB-4152_1	0.0939932845372572	2.56230561372602	E-MTAB-4152	1	direct co-culture with human umbilical vein endothelial cellsvsindirect co-culture with human umbilical vein endothelial cells	Osteoblasts co-cultured with human umbilical vein endothelial cells	26754918	Human	Bone	Culture	co-culture with human umbilical vein endothelial cells		Microarray	FALSE	Affy-ST
GSE109503_4	0.0934464832686822	2.54788035759949	GSE109503	4	Day3vsDay1	Mesenchymal Stem Cells During Chondrogenesis	29985644	Human	Cartilage	Differentiation	MSC differentiation		RNASeq	FALSE	RNASeq
GSE104473_5	0.0919125105435381	2.50741236543666	GSE104473	5	Mandibular Distraction_15_OPvsMandibular Fracture_15_OP	Mouse mandible during distraction osteogenesis	30356216	Mouse	Bone	Development			RNASeq	FALSE	RNASeq
GSE98295_3	0.0884413070990048	2.41583796421923	GSE98295	3	miR-140 KOvsmiR-140 WT	miR-140 mutations and knockout in mouse chondrocytes	30804514	Mouse	Cartilage				RNASeq	FALSE	RNASeq
GSE111946_1	0.0841614598222065	2.30293059421413	GSE111946	1	synthetic precursor miR-218vsscrambled control	Modulation of microRNA-218 in fibroblast-like synovial cells	30157923	Human	Synovium	Gene perturbation	Mir-218	Overexpression Knockdown	Microarray	TRUE	1C-Agilent
GSE109503_3	0.0817559815049127	2.23947126661562	GSE109503	3	Day7vsDay3	Mesenchymal Stem Cells During Chondrogenesis	29985644	Human	Cartilage	Differentiation	MSC differentiation		RNASeq	FALSE	RNASeq
GSE98295_2	0.0813493230116033	2.22874314058675	GSE98295	2	miR-140 G/GvsmiR-140 WT	miR-140 mutations and knockout in mouse chondrocytes	30804514	Mouse	Cartilage				RNASeq	FALSE	RNASeq
GSE59642_1	0.079921510291898	2.19107577336183	GSE59642	1	osteoarthiritisvsreference	Synovial fluid and bone marrow mesenchymal stem cells	NA	Human	Synovium	Tissue	Synovial fluid and bone marrow mesenchymal stem cells		Microarray	TRUE	1C-Agilent
GSE7669_1	0.0775027368101515	2.12726570379636	GSE7669	1	fibroblasts_RAvsfibroblasts_OA	Synovial fibroblasts from rheumatoid arthritis and osteoarthritis	17594488	Human	Synovium	Disease	Osteoarthritis	 RA	Microarray	FALSE	Affy
GSE125167_6	0.077083041624928	2.116193654608	GSE125167	6	PLZF_2_days_diffvsControl_2_days_dif	PLZF knockdown during osteogenic differentiation	30672466	Human	Bone				RNASeq	FALSE	RNASeq
GSE13837_4	0.0743045589330781	2.0428940359412	GSE13837	4	TGF stimulated synovial fibroblasts (12h).rheumatoid arthritisvsTGF stimulated synovial fibroblasts (0h).rheumatoid arthritis	TGFb or TNFa treated synovium from rheumatoid arthritis or osteoarthritis	19622164	Human	Synovium	Disease	Osteoarthritis  Rheumatoid arthritis	TNF and TGFB	Microarray	FALSE	Affy
GSE103492_5	0.0742997262581527	2.04276654433213	GSE103492	5	Lrp6_KOvsLrp6_Ctl	Wnt3a treated Lrp5/6KO osteoblasts	29176883	Mouse	Bone	Gene perturbation Exogenous	Lrp5/6 Wnt3a 	Knockout	RNASeq	FALSE	RNASeq
GSE35956_1	0.0733495592337956	2.0177000284386	GSE35956	1	diagnosis: primary osteoporosisvstissue: bone marrow	Osteoporosis MSCs	23028809	Human	Bone	Disease	Osteoporosis		Microarray	FALSE	Affy
GSE93698_8	0.0723128844044842	1.99035133560964	GSE93698	8	Microcrystalline arthritisvsSeronegative arthritis	Systemic sclerosis tenosynovial biopsies	30608617	Human	Synovium	Disease	tenosynovitis RA Osteoarthritis		Microarray	FALSE	Affy
GSE112694_1	0.0710268392114443	1.95642396132201	GSE112694	1	Zfp384KO_3DayvsWT_3Days	Osteogenic differentiation of mouse Zfp384 knockout MSCs	30645175	Mouse	Bone	Gene perturbation	Zfp384	Knockout	RNASeq	FALSE	RNASeq
GSE13837_24	0.0694400420625666	1.91456239916239	GSE13837	24	TNF stimulated synovial fibroblasts (12h).rheumatoid arthritisvsTNF stimulated synovial fibroblasts (12h).osteoarthritis	TGFb or TNFa treated synovium from rheumatoid arthritis or osteoarthritis	19622164	Human	Synovium	Disease	Osteoarthritis  Rheumatoid arthritis	TNF and TGFB	Microarray	FALSE	Affy
